temp,dwpt,rhum,wdir,wspd,pres
13.6,1.2,43.0,330.0,5.4,1019.4
15.6,0.2,35.0,250.0,18.4,1018.4
9.8,0.4,52.0,260.0,13.0,1020.3
4.2,1.4,82.0,,0.0,1021.9
0.7,-0.6,91.0,160.0,5.4,1022.0
-0.7,-1.5,94.0,360.0,7.6,1023.0
-1.3,-1.9,96.0,,0.0,1023.7
5.4,2.7,83.0,,0.0,1025.3
14.8,2.0,42.0,230.0,18.4,1023.5
16.0,2.0,39.0,260.0,5.4,1022.6
9.5,2.8,63.0,350.0,5.4,1024.2
4.3,2.6,89.0,90.0,7.6,1025.6
2.5,1.3,92.0,,0.0,1026.4
1.0,0.3,95.0,200.0,3.6,1026.1
1.4,0.7,95.0,,0.0,1026.5
3.7,3.0,95.0,,0.0,1027.6
8.3,5.1,80.0,,0.0,1026.0
10.9,5.6,70.0,,0.0,1024.0
9.3,5.7,78.0,220.0,5.4,1024.3
8.3,5.9,85.0,200.0,3.6,1024.0
7.4,6.7,95.0,,0.0,1024.0
5.8,5.4,97.0,,0.0,1023.3
3.8,3.5,98.0,250.0,11.2,1024.1
9.7,3.0,63.0,240.0,22.3,1026.5
13.9,0.9,41.0,260.0,29.5,1026.5
14.8,0.2,37.0,200.0,18.4,1026.2
9.7,0.8,54.0,180.0,5.4,1028.3
3.9,1.3,83.0,30.0,1.8,1029.4
3.5,1.5,87.0,140.0,9.4,1030.0
5.4,1.7,77.0,200.0,9.4,1029.3
1.8,0.2,89.0,140.0,3.6,1029.8
8.1,3.7,74.0,,0.0,1030.4
16.4,3.8,43.0,220.0,11.2,1028.1
18.0,3.8,39.0,330.0,9.4,1026.9
11.9,6.6,70.0,140.0,7.6,1027.0
6.3,5.4,94.0,340.0,5.4,1028.1
3.2,2.3,94.0,,0.0,1027.9
1.5,0.9,96.0,350.0,1.8,1027.3
1.5,1.2,98.0,50.0,1.8,1027.6
6.6,5.7,94.0,150.0,5.4,1027.7
13.9,7.0,63.0,360.0,5.4,1025.5
13.6,7.4,66.0,340.0,5.4,1024.2
10.9,9.0,88.0,,0.0,1023.1
9.4,8.5,94.0,,0.0,1023.0
9.0,8.7,98.0,350.0,1.8,1021.3
8.0,7.9,99.0,110.0,1.8,1019.1
8.7,8.6,99.0,,0.0,1017.4
10.1,9.9,99.0,290.0,7.6,1017.5
15.2,6.5,56.0,240.0,25.9,1015.5
15.0,6.3,56.0,210.0,16.6,1015.6
9.9,7.5,85.0,280.0,9.4,1018.4
10.8,6.9,77.0,230.0,11.2,1020.0
9.9,6.2,78.0,230.0,13.0,1021.0
8.4,5.1,80.0,250.0,5.4,1021.4
9.1,4.7,74.0,230.0,16.6,1022.3
11.8,6.1,68.0,220.0,20.5,1024.5
