time,index,temp,dwpt,rhum,wdir,wspd,pres
2012-07-02 00:00:00,4,1.2,0.2,93.0,,0.0,1015.3
2012-07-02 01:00:00,4,1.2,0.2,93.0,,0.0,1015.3
2012-07-02 02:00:00,4,1.2,0.2,93.0,,0.0,1015.3
2012-07-02 03:00:00,5,0.2,-0.2,97.0,330.0,9.4,1014.5
2012-07-02 04:00:00,5,0.2,-0.2,97.0,330.0,9.4,1014.5
2012-07-02 05:00:00,5,0.2,-0.2,97.0,330.0,9.4,1014.5
2012-07-02 06:00:00,6,-0.4,-0.7,98.0,140.0,5.4,1015.0
2012-07-02 07:00:00,6,-0.4,-0.7,98.0,140.0,5.4,1015.0
2012-07-02 08:00:00,6,-0.4,-0.7,98.0,140.0,5.4,1015.0
2012-07-02 09:00:00,7,9.9,4.7,70.0,350.0,9.4,1016.4
2012-07-02 10:00:00,7,9.9,4.7,70.0,350.0,9.4,1016.4
2012-07-02 11:00:00,7,9.9,4.7,70.0,350.0,9.4,1016.4
2012-07-02 12:00:00,8,14.5,2.1,43.0,250.0,27.7,1016.2
2012-07-02 13:00:00,8,14.5,2.1,43.0,250.0,27.7,1016.2
2012-07-02 14:00:00,8,14.5,2.1,43.0,250.0,27.7,1016.2
2012-07-02 15:00:00,9,14.6,1.8,42.0,260.0,27.7,1016.2
2012-07-02 16:00:00,9,14.6,1.8,42.0,260.0,27.7,1016.2
2012-07-02 17:00:00,9,14.6,1.8,42.0,260.0,27.7,1016.2
2012-07-02 18:00:00,10,9.8,2.2,59.0,250.0,7.6,1017.7
2012-07-02 19:00:00,10,9.8,2.2,59.0,250.0,7.6,1017.7
2012-07-02 20:00:00,10,9.8,2.2,59.0,250.0,7.6,1017.7
2012-07-02 21:00:00,11,8.1,2.3,67.0,220.0,5.4,1019.1
2012-07-02 22:00:00,11,8.1,2.3,67.0,220.0,5.4,1019.1
2012-07-02 23:00:00,11,8.1,2.3,67.0,220.0,5.4,1019.1
2012-07-03 00:00:00,12,6.4,2.5,76.0,270.0,3.6,1019.4
2012-07-03 01:00:00,12,6.4,2.5,76.0,270.0,3.6,1019.4
2012-07-03 02:00:00,12,6.4,2.5,76.0,270.0,3.6,1019.4
2012-07-03 03:00:00,13,1.2,0.2,93.0,190.0,9.4,1019.0
2012-07-03 04:00:00,13,1.2,0.2,93.0,190.0,9.4,1019.0
2012-07-03 05:00:00,13,1.2,0.2,93.0,190.0,9.4,1019.0
2012-07-03 06:00:00,14,0.1,-0.8,94.0,160.0,7.6,1019.7
2012-07-03 07:00:00,14,0.1,-0.8,94.0,160.0,7.6,1019.7
2012-07-03 08:00:00,14,0.1,-0.8,94.0,160.0,7.6,1019.7
2012-07-03 09:00:00,15,6.4,3.4,81.0,170.0,5.4,1021.0
2012-07-03 10:00:00,15,6.4,3.4,81.0,170.0,5.4,1021.0
2012-07-03 11:00:00,15,6.4,3.4,81.0,170.0,5.4,1021.0
2012-07-03 12:00:00,16,13.6,1.9,45.0,250.0,18.4,1019.6
2012-07-03 13:00:00,16,13.6,1.9,45.0,250.0,18.4,1019.6
2012-07-03 14:00:00,16,13.6,1.9,45.0,250.0,18.4,1019.6
2012-07-03 15:00:00,17,15.5,0.9,37.0,240.0,16.6,1018.2
2012-07-03 16:00:00,17,15.5,0.9,37.0,240.0,16.6,1018.2
2012-07-03 17:00:00,17,15.5,0.9,37.0,240.0,16.6,1018.2
2012-07-03 18:00:00,18,8.1,3.4,72.0,300.0,5.4,1019.6
2012-07-03 19:00:00,18,8.1,3.4,72.0,300.0,5.4,1019.6
2012-07-03 20:00:00,18,8.1,3.4,72.0,300.0,5.4,1019.6
2012-07-03 21:00:00,19,4.7,0.8,76.0,120.0,3.6,1021.0
2012-07-03 22:00:00,19,4.7,0.8,76.0,120.0,3.6,1021.0
2012-07-03 23:00:00,19,4.7,0.8,76.0,120.0,3.6,1021.0
2012-07-04 00:00:00,20,4.6,1.8,82.0,160.0,9.4,1021.8
2012-07-04 01:00:00,20,4.6,1.8,82.0,160.0,9.4,1021.8
2012-07-04 02:00:00,20,4.6,1.8,82.0,160.0,9.4,1021.8
2012-07-04 03:00:00,21,2.6,-0.2,82.0,170.0,7.6,1022.3
2012-07-04 04:00:00,21,2.6,-0.2,82.0,170.0,7.6,1022.3
2012-07-04 05:00:00,21,2.6,-0.2,82.0,170.0,7.6,1022.3
2012-07-04 06:00:00,22,4.5,1.0,78.0,250.0,3.6,1023.6
2012-07-04 07:00:00,22,4.5,1.0,78.0,250.0,3.6,1023.6
2012-07-04 08:00:00,22,4.5,1.0,78.0,250.0,3.6,1023.6
2012-07-04 09:00:00,23,10.7,2.0,55.0,220.0,18.4,1025.3
2012-07-04 10:00:00,23,10.7,2.0,55.0,220.0,18.4,1025.3
2012-07-04 11:00:00,23,10.7,2.0,55.0,220.0,18.4,1025.3
2012-07-04 12:00:00,24,14.6,1.1,40.0,200.0,20.5,1025.6
2012-07-04 13:00:00,24,14.6,1.1,40.0,200.0,20.5,1025.6
2012-07-04 14:00:00,24,14.6,1.1,40.0,200.0,20.5,1025.6
2012-07-04 15:00:00,25,15.0,1.1,39.0,210.0,14.8,1025.3
