,Setting,Model,MSE-mean,MSE-std,MAE-mean,MAE-std
0,"User2: all time, weather, lags",Dense,0.0217111414919296,0.0024950021101337,0.100277379155159,0.0131438089267232
1,"User2: all time, weather, lags",LSTM,0.0239843154946963,0.0008514912533126,0.0924885496497154,0.0077989284749753
2,"User2: all time, weather, lags",CNN,0.0247103255242109,0.0008580649815901,0.0964111809929211,0.0053310234820909
3,"User2: all time, weather, 2 lags",Dense,0.0179207045584917,0.0005087500912645,0.0839126035571098,0.0024499624971476
4,"User2: all time, weather, 2 lags",LSTM,0.020334659765164,0.0014102777508761,0.086090512573719,0.0039341966296688
5,"User2: all time, weather, 2 lags",CNN,0.0246677659451961,0.0013468699940099,0.0991251518328984,0.0010910602235374
6,"User2: all time, weather, 1 lags",Dense,0.0176069314281145,0.0002741940401284,0.0812822381655375,0.0029637295926282
7,"User2: all time, weather, 1 lags",LSTM,0.0221319366246461,0.0013185788647456,0.0915153597791989,0.0042523220001272
8,"User2: all time, weather, 1 lags",CNN,0.0232751375685135,0.0010051516011185,0.0905427436033884,0.0014278425800109
9,"User2: all time, weather, 0 lags",Dense,0.0180187343309323,0.0013149374689497,0.0826088686784108,0.0037482519774307
10,"User2: all time, weather, 0 lags",LSTM,0.0212603521843751,0.0013171367865108,0.09903085231781,0.0077912814010739
11,"User2: all time, weather, 0 lags",CNN,0.0236591044813394,0.0013065514851338,0.0863659257690111,0.0026016596688719
12,"User2: all time, weather - no PC1, 0 lags",Dense,0.0171561116973559,0.0006474090775596,0.0817539393901825,0.0033746864401861
13,"User2: all time, weather - no PC1, 0 lags",LSTM,0.0226983496298392,0.0010169087752353,0.0862851391235987,0.0054302401809767
14,"User2: all time, weather - no PC1, 0 lags",CNN,0.0234512947499752,0.0031402129711439,0.0943494339783986,0.0090939506473701
15,User2: only time,Dense,0.0171425553659598,0.0005150324181707,0.0772174845139185,0.0022098775902032
16,User2: only time,LSTM,0.0195731682082017,0.0022919034355198,0.085141398012638,0.0053398925628243
17,User2: only time,CNN,0.0219645810623963,0.0015355371744563,0.086964264512062,0.0012009754377404
18,User2: only electricity,Dense,0.0176072791218757,0.0001165809539658,0.0802949940164883,0.0100834283249323
19,User2: only electricity,LSTM,0.0185649953782558,0.0016956332951588,0.0812311843037605,0.0077600676269966
20,User2: only electricity,CNN,0.0229695762197176,0.00054392942155,0.0884791289766629,0.0021022087658901
21,"User2: time, weather PC1, 1 lag",Dense,0.0176573898643255,0.0004394804514141,0.0797654415170351,0.0020893771787499
22,"User2: time, weather PC1, 1 lag",LSTM,0.0190286493549744,0.0006792127975045,0.0854954496026039,0.006467316762588
23,"User2: time, weather PC1, 1 lag",CNN,0.0233271134396394,0.0003296706662476,0.0938326567411422,0.0025343795297585
24,"User2: all time, temp",Dense,0.017136316746473312,0.0010744769919110839,0.07733829319477081,0.0036271405317028355
25,"User2: all time, temp",LSTM,0.021669752274950344,0.0007669564460074228,0.08897464474042256,0.006917893049915387
26,"User2: all time, temp",CNN,0.02162998355925083,0.0008262653148828347,0.08731208244959514,0.0040283327164751075
