,User,Round,CD_mae_count,CD_ks_count,RMSE_BiLSTM,MAE_BiLSTM,MSE_BiLSTM,RMSE_CNN,MAE_CNN,MSE_CNN,RMSE_Transformer,MAE_Transformer,MSE_Transformer,RMSE_soft_dense,MAE_soft_dense,MSE_soft_dense,RMSE_soft_bilstm,MAE_soft_bilstm,MSE_soft_bilstm,RMSE_topk_dense,MAE_topk_dense,MSE_topk_dense,RMSE_topk_bilstm,MAE_topk_bilstm,MSE_topk_bilstm
0,1,1,33,103,0.09865562324731898,0.06385416170651721,0.009732931998316945,0.12051548285163596,0.09460409898771291,0.014523981606962963,0.11808653722192067,0.07773849713777377,0.013944430273064056,0.09937363841388419,0.0690942108363855,0.009875120011613399,0.1010241177701487,0.06690836664920988,0.010205872371236876,0.10378095723332087,0.07938238080620964,0.010770487084264375,0.09944602943366505,0.06996667607274928,0.009889512770121376
1,2,1,33,98,0.09986073181047239,0.06666227654896993,0.009972165757723092,0.11862901213452433,0.09188094232306095,0.014072842520013121,0.12607357198278518,0.10461476864102907,0.01589454555249852,0.0920187000502923,0.05869714986218059,0.008467441158945667,0.09115631629761803,0.06021532632470738,0.008309474000951382,0.0964322409256304,0.06566130461693921,0.009299177089938826,0.12708423406422154,0.09980626049678736,0.016150402547689843
2,3,1,39,103,0.08026161575933341,0.039970517257687944,0.0064419269642988775,0.10195504528225445,0.07198658240263456,0.010394831258506557,0.09570503110730405,0.05154855134931529,0.009159452979250035,0.07584221926232522,0.03532603392744638,0.005752042222634614,0.07718820229879605,0.04311902476322782,0.005958018574119865,0.08314905333106803,0.050127473924236665,0.006913765069852797,0.08015958074515252,0.04917114668380274,0.006425558385238626
3,4,1,28,103,0.07043991739851223,0.027793424158437496,0.004961781963109226,0.08188175891020494,0.039817925269837864,0.006704622442228927,0.08973646976333019,0.05610499747945185,0.008052634005585074,0.06620883836083033,0.02860975793496527,0.0043836102770905576,0.06544297501362348,0.0279015642240817,0.004282782978633747,0.06854143716700614,0.02940454934263835,0.00469792860891865,0.06720487168040302,0.030736534279813734,0.004516494777579436
4,5,1,34,102,0.06054127893546259,0.0350905957679063,0.0036652464551414866,0.0908015711641371,0.07661683886606789,0.008244925325875854,0.07188225331411555,0.04276660994721578,0.005167058341514676,0.06713103646021845,0.048482910721266266,0.004506576056223179,0.06060313569962545,0.03388172588850351,0.0036727400566272167,0.0634162476859178,0.0434120505169626,0.004021620470561676,0.06631462513998332,0.047594403730839153,0.0043976295074565075
5,6,1,33,88,0.09203242573486001,0.06244936005130538,0.008469967386642524,0.11142418960225614,0.07719887731245482,0.012415350028519526,0.11357629268426774,0.08190999982097424,0.012899574259902447,0.08397033569632935,0.05759443879858778,0.007051017276954242,0.08283926464932184,0.05514295042434908,0.006862343767640384,0.08397981925705485,0.054731366326628665,0.007052610042447599,0.0895225576946855,0.06484325441482787,0.008014288336198296
6,7,1,42,102,0.06418451214489722,0.03949119773516602,0.004119651599278458,0.07377928053172476,0.044127507642810364,0.005443382235778942,0.07212771351250967,0.045303937733961,0.00520240705654267,0.06692988971134695,0.043420514234154536,0.004479610136773065,0.05903758258260063,0.03877325259769359,0.00348543615719739,0.061711309320645405,0.04003633775589615,0.0038082856980683768,0.05802852180805912,0.03452630147611715,0.0033673093432283925
7,8,1,36,93,0.08380070795761409,0.04896935569293677,0.007022558654197325,0.10546138003922613,0.07108157383683521,0.011122102679778083,0.10094241203413594,0.06364800134105839,0.010189370547269271,0.07586067628573707,0.04551271709248142,0.005754842206529391,0.07008144270046111,0.04199876222714601,0.004911408610978015,0.07859395306590908,0.046012477263884285,0.006177009458526319,0.07367145020399628,0.04385316913007571,0.005427482575159904
8,9,1,32,103,0.08379040641739019,0.04593562923107321,0.007020832207591423,0.09423743407880117,0.05475753775037749,0.008880693981756395,0.08965174738692462,0.04200952789039877,0.008037435809528946,0.07610838599927264,0.040156748859132486,0.00579248641941428,0.07844141138443186,0.035951585108978626,0.006153055019981677,0.07946209657042798,0.05007081210819078,0.006314224791368021,0.0779778029846946,0.0452342660911735,0.006080537758319846
9,10,1,38,91,0.06690614300654975,0.03738642359132739,0.004476431972012886,0.09468503989153484,0.0700965925481028,0.008965256779261544,0.0816336461803626,0.04148598627258674,0.006664052188700629,0.06671607013457362,0.037238405137289814,0.004451034014201346,0.06867429750060774,0.045257949273573315,0.00471615913720198,0.07366207372724351,0.05306860385051049,0.005426101105797858,0.06689565297196158,0.04021055426385579,0.004475028386545112
