,User,Round,CD_mae_count,CD_ks_count,RMSE_BiLSTM,MAE_BiLSTM,MSE_BiLSTM,RMSE_CNN,MAE_CNN,MSE_CNN,RMSE_Transformer,MAE_Transformer,MSE_Transformer,RMSE_soft_dense,MAE_soft_dense,MSE_soft_dense,RMSE_soft_bilstm,MAE_soft_bilstm,MSE_soft_bilstm,RMSE_topk_dense,MAE_topk_dense,MSE_topk_dense,RMSE_topk_bilstm,MAE_topk_bilstm,MSE_topk_bilstm
0,1,1,21,103,0.13258845102793254,0.08829785204831724,0.017579697345986463,0.1855895280211428,0.14723772733651197,0.03444347291111056,0.21354536278301145,0.1557756506731422,0.04560162196612797,0.12408468785945527,0.08829621700785159,0.015397009761178445,0.12262064851761376,0.08367869405415104,0.015035823442880174,0.1239047192866822,0.08679810450396393,0.015352379461511518,0.12330021339911042,0.08637357436417997,0.015202942624266169
1,2,1,26,103,0.11577814127250291,0.08317654684256427,0.013404577996515642,0.12156887632252933,0.08950142614772977,0.014778991690322431,0.12027591198841217,0.07310088851488779,0.014466295004644272,0.11921067068073883,0.09051905699197837,0.014211184004151566,0.1103338398934311,0.07535528731764504,0.012173556225629286,0.11311332293225057,0.07609654436042705,0.012794623824775603,0.11737014367490403,0.08944519560633897,0.013775750626267616
2,3,1,23,103,0.08590453609709957,0.06151011787792071,0.007379589322057883,0.09459336361938932,0.07290856567063371,0.008947904440830006,0.09148546165046036,0.05965419127440392,0.008369589693397853,0.09060397661421449,0.06823974171951909,0.008209080578309127,0.07473296099516363,0.043896679056102374,0.00558501545910465,0.09565840359541534,0.06619669874678996,0.009150530178423372,0.09092599214310675,0.06719060071138976,0.00826753604720831
3,4,1,36,103,0.09170092524718805,0.048957761282606746,0.00840905969119037,0.12357588851923887,0.0704524772229214,0.015271000223319354,0.13589695884735292,0.07371841437804509,0.018467983423959135,0.08281101754721942,0.04418634980819959,0.006857664627205883,0.08354448930217365,0.047656575712195656,0.006979681692761008,0.0852362325067888,0.04531221797873631,0.007265215331951359,0.08523341066735436,0.045104510116535074,0.007264734293989876
4,5,1,22,103,0.11550233096490774,0.08786611656693824,0.013340788458327084,0.1408122674944541,0.11240752733229713,0.019828094676929697,0.1256938211068568,0.07797410172326683,0.015798936664442525,0.10823725577870243,0.07801152419431812,0.011715303538504251,0.11665480085144116,0.09395025794117404,0.013608342561689397,0.10822878739944149,0.07732546156038775,0.011713470421953505,0.11049997828786554,0.08051487946994058,0.012210245201618756
5,6,1,24,103,0.13623310448207954,0.09549477548475792,0.0185594587568252,0.13493121026170238,0.08677754151353556,0.018206431502687734,0.13085078411936402,0.08532372889182906,0.017121927704652408,0.10013420989174962,0.06772929869078313,0.010026859990644966,0.10249969163532006,0.07361812852034669,0.010506186785335702,0.09649046106474511,0.06699400800457649,0.009310409076487091,0.09932485704832748,0.06828329088628352,0.009865427227670689
6,7,1,34,91,0.09030952000378639,0.04736004481324398,0.008155809403314293,0.15404936642560194,0.08806194476078487,0.023731207296129375,0.266254157165273,0.19029818564345213,0.07089127620778989,0.09444387135298117,0.053478145052464905,0.008919644836138456,0.0902328668825762,0.05295201055265633,0.008141970265848718,0.09270206074924912,0.05227501881895855,0.008593672067157476,0.09201335665032219,0.05661862391617904,0.008466457802059391
7,8,1,30,102,0.11175044245192849,0.06823544128757653,0.012488161388201779,0.14346734657475102,0.09915875623419199,0.020582879533199726,0.14540019366588294,0.09623485390392178,0.021141216318076268,0.10971802180904691,0.07540005123009018,0.012038044309690493,0.11144005069182446,0.07466812362325968,0.012418884898196406,0.11164597192566479,0.07327651019217968,0.012464823047226332,0.10768607418170925,0.07131551789859539,0.011596290572668587
8,9,1,30,92,0.1038266938412987,0.05692676072508818,0.010779982354014773,0.12387319399123638,0.10702591979039627,0.01534456818959048,0.10673236035204514,0.06248135868265241,0.011391796746318817,0.10735908716571965,0.07740491127173729,0.01152597359705659,0.11982818810579868,0.09100725847184654,0.014358794664718672,0.10363626954937719,0.07846825659351982,0.010740476366111166,0.11280523558081706,0.0888985644963158,0.012725021174443636
9,10,1,31,103,0.10535456457432757,0.06779734582407242,0.011099584276646157,0.1395347859653281,0.08554418091023597,0.01946995649438992,0.12370559806390038,0.07920493291074264,0.015303074992347275,0.10532560200587493,0.06576945342274632,0.011093482437899966,0.10489613951043465,0.06206232422767939,0.011003200084192569,0.10473998790694865,0.06331124580824722,0.010970465066747748,0.10699832677899125,0.06039993677480687,0.011448641933503796
10,11,1,20,101,0.07797153156571252,0.05274755740428893,0.0060795597347029036,0.1092352668490136,0.09222801697790807,0.011932343523575207,0.2268138326643076,0.2004855117163995,0.05144451468787253,0.07363091877583162,0.049408754005672496,0.005421512199773115,0.07715585662412887,0.05579463241898359,0.00595302621140313,0.08904206623124658,0.06281585332530426,0.007928489558729702,0.07588621861258146,0.050359913427967126,0.005758718175316506
11,12,1,16,103,0.05741572569560229,0.040316772666372465,0.003296565557152645,0.07608008243720353,0.05918175910189838,0.005788178943651684,0.0747939882648251,0.05663361454341995,0.005594140680558795,0.060399581987584244,0.046027435774985054,0.003648109504274911,0.05006257123706392,0.03251060028424884,0.0025062610388660997,0.06607279679850518,0.049904891451540895,0.004365614476776556,0.05952171481427158,0.04310823978135373,0.0035428345344314764
12,13,1,34,102,0.0793286037679374,0.04732679950962839,0.006293027375770412,0.1066096939829695,0.060543914941872064,0.011365626851142403,0.09718739176129038,0.05869828393035101,0.009445389117362533,0.07868705816022724,0.044431002427556536,0.006191653121910985,0.07789173756945658,0.04461516694094178,0.006067122781589094,0.08047009748128146,0.046292625678385727,0.006475436588646942,0.08034749950653053,0.049097966551783556,0.006455720676951923
13,14,1,34,102,0.09401230846459326,0.053753376088766736,0.008838314142841832,0.10934234809396577,0.08235399533966983,0.011955749086701979,0.17754157903601203,0.16483899235772342,0.03152101228660051,0.09583122021739689,0.06495704728502076,0.009183622768355219,0.09633739336358504,0.07103212736335109,0.00928089336009012,0.09704999304367326,0.06505447757484893,0.009418701149777029,0.0942890413517909,0.0578228730444513,0.008890423319039735
14,15,1,30,103,0.10040432256654311,0.05731470973185831,0.010081027990046437,0.10307445453156962,0.06766032451660835,0.010624343176980614,0.1006856521704391,0.053544990762063385,0.010137600552986648,0.09427749017507156,0.05654898416771208,0.008888245153710716,0.09596954826264162,0.0572600912641259,0.009210154193735498,0.09512372962267526,0.05902664512886197,0.009048523937327827,0.09497579979795603,0.05967070027594111,0.009020402547261426
15,16,1,30,83,0.08209558407454182,0.04997777365304292,0.006739684924540163,0.1189567816615999,0.10066814200936597,0.014150715903285548,0.12395676936891328,0.10320949044267012,0.015365280672377957,0.07175244423767797,0.0480869521050949,0.005148413254081088,0.07194656158738129,0.04586092223416952,0.005176307724246849,0.08076022799944141,0.06244074225431285,0.006522214426521761,0.07096127771968493,0.04364601582305707,0.005035502935610253
16,17,1,31,97,0.09656155708176972,0.06121685244749137,0.009324134306055873,0.13836776752185645,0.11978689693274204,0.019145639088982515,0.1149206073371305,0.07777336635728238,0.01320674599073493,0.09033932006929006,0.06395414830591116,0.008161192750581633,0.0852180073145469,0.05726219815445449,0.00726210877066217,0.093951682415185,0.06947799940990523,0.008826918628643784,0.08800640564917137,0.06384551499673591,0.007745127435286501
17,18,1,22,103,0.1448538037159673,0.10623274870524996,0.02098262445098398,0.15547739890664677,0.11472873974954129,0.024173221570776567,0.15682549247037483,0.12337672091909083,0.024594235088575597,0.14432626699751894,0.09906954860509343,0.020830071345439127,0.14129653765125383,0.09760145997629859,0.019964711552232194,0.1448342415706078,0.10965769989247197,0.02097695753133318,0.14642497862298204,0.10792886438310408,0.021440274364740747
18,19,1,32,103,0.05865164930703117,0.038594491565960884,0.00344001596643497,0.059928759092928996,0.040617545079640105,0.0035914561664183195,0.07376860959581902,0.06423213312386536,0.0054418077617003615,0.04964658895713325,0.028070973828217174,0.0024647837950785454,0.04734884379555998,0.02404800815536996,0.002241913008776339,0.05244623658107385,0.03279026073306359,0.0027506077315179686,0.05186404476083589,0.035098950734382905,0.002689879138953989
19,20,1,38,103,0.08765537904994662,0.04929765281752839,0.007683465476389822,0.1248327656923736,0.06449027502428885,0.01558321939040705,0.12457580226218412,0.060156700088690014,0.0155191305092668,0.08868283040308098,0.04430890491326973,0.007864644408301624,0.08457340886022946,0.05311609393530413,0.007152661486239539,0.0852220872468846,0.047201882601432654,0.007262804154715611,0.08859529392728947,0.04484104358316615,0.007849126106062814
20,21,1,33,93,0.08742265925417687,0.06012803048540904,0.007642721351071916,0.11830974092215985,0.10108280979447652,0.013997194797068584,0.09250251429482605,0.0610707712384199,0.008556715150864497,0.09565382344376284,0.07177579109971954,0.009149653939410555,0.08511572655603931,0.062457804607957274,0.007244686907162457,0.08691331166311611,0.06262562611851016,0.007553923744249954,0.08222829710646773,0.059922499979530953,0.00676149284502953
21,22,1,25,103,0.08943994135638725,0.05333391278423938,0.007999503109833989,0.10484034160177522,0.07024110858866421,0.010991497227176919,0.09691067660970212,0.05569860170688852,0.009391679240950267,0.09079477498774641,0.05829558890145096,0.008243691165075501,0.09547754972206868,0.07342886229514795,0.009115962500930098,0.0840316338403926,0.052248390965998696,0.0070613154858858145,0.0834152482870579,0.054478570173579224,0.006958103646791517
22,23,1,35,101,0.10250781047106004,0.0611792647660409,0.010507851207570766,0.10978393416639397,0.08112040997306072,0.012052512201051125,0.11466347851742777,0.06352762902229116,0.013147713305716619,0.10256543203635063,0.06967853039144763,0.01051966784880326,0.10518519056851201,0.07669143096429565,0.011063924314934187,0.09936598276333426,0.06809329747815521,0.00987359853052324,0.09681025126188147,0.06708001210320814,0.009372224749388623
23,24,1,30,103,0.08192845358378159,0.05519196177894254,0.006712271506629854,0.11159673526952986,0.08900437221979354,0.012453831322817528,0.10522576045120487,0.062291914621546096,0.011072460662534351,0.07999149619020879,0.05674216506745262,0.006398639462748188,0.07641382156942278,0.04837859271687737,0.005839072126843582,0.07564366100693966,0.046133170774964385,0.005721963450532804,0.08572511276477365,0.06290233531332128,0.007348794958533158
