,user,architecture,train_time,avg_time_epoch,mse,rmse,mape,mae
0,user7,global_topk_dense,2.752129077911377,2.5991194248199463,0.009068967774510384,0.09523113071918488,11352.5439453125,0.057238489389419556
1,user7,global_topk_dense,2.7892189025878906,2.640219211578369,0.009462631307542324,0.09727605432271957,32736.48046875,0.06360470503568649
2,user7,global_topk_dense,2.751265525817871,2.600259780883789,0.009215329773724079,0.09599650651216507,29032.935546875,0.058709483593702316
3,user7,global_topk_dense,2.7225027084350586,2.5724596977233887,0.00945994071662426,0.09726222604513168,5480.59375,0.060445524752140045
4,user7,global_topk_dense,2.751312255859375,2.6002748012542725,0.009380104951560497,0.0968509390950203,38971.09765625,0.06456638127565384
5,user14,global_topk_dense,2.732771158218384,2.5805463790893555,0.011086205951869488,0.10529105365276337,361640.9375,0.06985457241535187
6,user14,global_topk_dense,2.7483584880828857,2.597287178039551,0.012909389100968838,0.11361949145793915,457198.53125,0.08119452744722366
7,user14,global_topk_dense,2.731064796447754,2.579024076461792,0.010561962611973286,0.10277140885591507,379593.21875,0.06796804815530777
8,user14,global_topk_dense,2.7470831871032715,2.5960817337036133,0.015675196424126625,0.12520062923431396,579266.9375,0.094327911734581
9,user14,global_topk_dense,2.7370779514312744,2.586923122406006,0.016123928129673004,0.1269800364971161,581161.125,0.09718569368124008
10,user18,global_topk_dense,2.72088360786438,2.5688819885253906,0.014350182376801968,0.11979224532842636,102716.1015625,0.0847669467329979
11,user18,global_topk_dense,2.716864585876465,2.5662808418273926,0.014123300090432167,0.1188414916396141,108881.3359375,0.08189941197633743
12,user18,global_topk_dense,2.7401483058929443,2.588101387023926,0.014261568896472454,0.1194218099117279,108028.3046875,0.08332431316375732
13,user18,global_topk_dense,2.7290151119232178,2.579012632369995,0.014303847216069698,0.11959869414567947,94519.8671875,0.08268026262521744
14,user18,global_topk_dense,2.7352371215820312,2.587193012237549,0.014147072099149227,0.11894146353006363,102052.4609375,0.08286614716053009
15,user22,global_topk_dense,2.7511215209960938,2.5996053218841553,0.015511377714574337,0.12454468011856079,59184.48046875,0.08310513943433762
16,user22,global_topk_dense,2.731585741043091,2.5835554599761963,0.015731140971183777,0.1254238486289978,41660.4375,0.08182641118764877
17,user22,global_topk_dense,2.723294258117676,2.5702497959136963,0.015513960272073746,0.12455505132675171,41078.4375,0.08219193667173386
18,user22,global_topk_dense,2.7464613914489746,2.59645938873291,0.015293789096176624,0.12366805970668793,42589.10546875,0.07717667520046234
19,user22,global_topk_dense,2.737938642501831,2.586916446685791,0.01541212573647499,0.12414558231830597,40372.18359375,0.07714781910181046
20,user23,global_topk_dense,2.7099249362945557,2.558919906616211,0.013998066075146198,0.11831342428922653,24813.001953125,0.06451037526130676
21,user23,global_topk_dense,2.7678415775299072,2.6168086528778076,0.013670974411070347,0.11692294478416443,27762.75390625,0.06621596962213516
22,user23,global_topk_dense,2.7473397254943848,2.5963213443756104,0.0136895552277565,0.11700237542390823,40593.0859375,0.06740166246891022
23,user23,global_topk_dense,2.733386754989624,2.5813450813293457,0.013760002329945564,0.1173030361533165,33189.140625,0.06604832410812378
24,user23,global_topk_dense,2.7822163105010986,2.6311848163604736,0.01360360998660326,0.11663451790809631,50085.52734375,0.06829842180013657
25,user25,global_topk_dense,2.7302372455596924,2.5797786712646484,0.03849419951438904,0.19619938731193542,238017.109375,0.1270558089017868
26,user25,global_topk_dense,2.740795612335205,2.5907907485961914,0.04196446016430855,0.20485228300094604,303668.9375,0.1403789073228836
27,user25,global_topk_dense,2.752427816390991,2.6014041900634766,0.04371323809027672,0.20907710492610931,345696.21875,0.1481492519378662
28,user25,global_topk_dense,2.7262675762176514,2.5739197731018066,0.04177902266383171,0.20439916849136353,297273.40625,0.13984964787960052
