Date,temp,hour,User5
2012-07-01 00:00:00,5.1,0,0.098
2012-07-01 01:00:00,5.1,1,0.098
2012-07-01 02:00:00,5.1,2,0.075
2012-07-01 03:00:00,2.7,3,0.072
2012-07-01 04:00:00,2.7,4,0.092
2012-07-01 05:00:00,2.7,5,0.076
2012-07-01 06:00:00,1.9,6,0.075
2012-07-01 07:00:00,1.9,7,0.075
2012-07-01 08:00:00,1.9,8,0.177
2012-07-01 09:00:00,5.3,9,0.184
2012-07-01 10:00:00,5.3,10,0.065
2012-07-01 11:00:00,5.3,11,0.168
2012-07-01 12:00:00,13.4,12,0.097
2012-07-01 13:00:00,13.4,13,0.097
2012-07-01 14:00:00,13.4,14,0.142
2012-07-01 15:00:00,13.4,15,0.086
2012-07-01 16:00:00,13.4,16,0.077
2012-07-01 17:00:00,13.4,17,0.101
2012-07-01 18:00:00,9.2,18,0.078
2012-07-01 19:00:00,9.2,19,0.061
2012-07-01 20:00:00,9.2,20,0.069
2012-07-01 21:00:00,4.2,21,0.078
2012-07-01 22:00:00,4.2,22,0.183
2012-07-01 23:00:00,4.2,23,0.083
2012-07-02 00:00:00,1.2,0,0.133
2012-07-02 01:00:00,1.2,1,0.093
2012-07-02 02:00:00,1.2,2,0.081
2012-07-02 03:00:00,0.2,3,0.083
2012-07-02 04:00:00,0.2,4,0.099
2012-07-02 05:00:00,0.2,5,0.113
2012-07-02 06:00:00,-0.4,6,0.244
2012-07-02 07:00:00,-0.4,7,0.081
2012-07-02 08:00:00,-0.4,8,0.086
2012-07-02 09:00:00,9.9,9,0.077
2012-07-02 10:00:00,9.9,10,0.087
2012-07-02 11:00:00,9.9,11,0.1
2012-07-02 12:00:00,14.5,12,0.079
2012-07-02 13:00:00,14.5,13,0.078
2012-07-02 14:00:00,14.5,14,0.135
2012-07-02 15:00:00,14.6,15,0.342
2012-07-02 16:00:00,14.6,16,0.424
2012-07-02 17:00:00,14.6,17,0.502
2012-07-02 18:00:00,9.8,18,0.639
2012-07-02 19:00:00,9.8,19,0.676
2012-07-02 20:00:00,9.8,20,0.287
2012-07-02 21:00:00,8.1,21,0.362
2012-07-02 22:00:00,8.1,22,0.292
2012-07-02 23:00:00,8.1,23,0.175
2012-07-03 00:00:00,6.4,0,0.124
2012-07-03 01:00:00,6.4,1,0.079
2012-07-03 02:00:00,6.4,2,0.103
2012-07-03 03:00:00,1.2,3,0.103
2012-07-03 04:00:00,1.2,4,0.066
2012-07-03 05:00:00,1.2,5,0.097
2012-07-03 06:00:00,0.1,6,0.069
2012-07-03 07:00:00,0.1,7,0.069
2012-07-03 08:00:00,0.1,8,0.085
2012-07-03 09:00:00,6.4,9,0.346
2012-07-03 10:00:00,6.4,10,0.276
2012-07-03 11:00:00,6.4,11,0.473
2012-07-03 12:00:00,13.6,12,0.591
2012-07-03 13:00:00,13.6,13,0.275
2012-07-03 14:00:00,13.6,14,0.275
2012-07-03 15:00:00,15.5,15,0.215
2012-07-03 16:00:00,15.5,16,0.207
